categories,employmentTypes,metadata_expiryDate,metadata_isPostedOnBehalf,metadata_jobPostId,metadata_newPostingDate,metadata_originalPostingDate,metadata_repostCount,metadata_totalNumberJobApplication,metadata_totalNumberOfView,minimumYearsExperience,numberOfVacancies,occupationId,positionLevels,postedCompany_name,salary_maximum,salary_minimum,salary_type,status_id,status_jobStatus,title,average_salary
"[{""id"":13,""category"":""Environment / Health""},{""id"":25,""category"":""Manufacturing""},{""id"":36,""category"":""Sciences / Laboratory / R&D""}]",Permanent,5/8/2023,FALSE,MCF-2023-0252866,4/8/2023,########,2,5,151,0,1,,Executive,WORKSTONE PTE. LTD.,2800,2000,Monthly,0,Closed,"Food Technologist - Clementi | Entry Level | Up to $2,800",2400
"[{""id"":21,""category"":""Information Technology""}]",Permanent,5/8/2023,FALSE,MCF-2023-0273977,4/8/2023,4/8/2023,0,0,55,2,2,,Executive,TRUST RECRUIT PTE. LTD.,5500,4000,Monthly,0,Closed,"Software Engineer (Fab Support) (Java, CIM, Up to $ 5.5K) - DS",4750
"[{""id"":33,""category"":""Repair and Maintenance""}]",Full Time,########,FALSE,MCF-2023-0273994,4/8/2023,4/8/2023,0,7,99,3,1,,Senior Executive,PU TIEN SERVICES PTE. LTD.,4600,3800,Monthly,0,Closed,Senior Technician,4200
"[{""id"":21,""category"":""Information Technology""}]",Permanent,5/8/2023,FALSE,MCF-2023-0273991,4/8/2023,4/8/2023,0,6,113,8,1,,Senior Executive,TRUST RECRUIT PTE. LTD.,10000,5000,Monthly,0,Closed,"Senior .NET Developer (.NET Core, MVC, MVVC, SharePoint) - DS",7500
"[{""id"":2,""category"":""Admin / Secretarial""}]",Full Time,5/8/2023,FALSE,MCF-2023-0273976,4/8/2023,4/8/2023,0,3,99,2,3,,Non-executive,EATZ CATERING SERVICES PTE. LTD.,3400,2400,Monthly,0,Closed,Sales / Admin Cordinator,2900
"[{""id"":7,""category"":""Consulting""},{""id"":21,""category"":""Information Technology""},{""id"":29,""category"":""Professional Services""}]",Full Time,########,FALSE,MCF-2023-0273974,4/8/2023,4/8/2023,0,4,110,1,3,,Junior Executive,BYTECENTURE CONSULTING PTE. LTD.,6000,4000,Monthly,0,Closed,Software Support Engineer,5000
"[{""id"":21,""category"":""Information Technology""}]",Permanent,5/8/2023,FALSE,MCF-2023-0273984,4/8/2023,4/8/2023,0,28,171,3,1,,Manager,TRUST RECRUIT PTE. LTD.,10000,8000,Monthly,0,Closed,"Urgent Hiring!!! Business Development Manager (Process Automation Solution, MES, Pre-sales, Siemens, Aveva)",9000
"[{""id"":37,""category"":""Security and Investigation""}]",Permanent,5/8/2023,FALSE,MCF-2023-0273993,4/8/2023,4/8/2023,0,9,137,3,1,,Senior Executive,TRITON AI PTE. LTD.,7000,6500,Monthly,0,Closed,IT Security Engineer (Maritime/ Cloud Security),6750
"[{""id"":1,""category"":""Accounting / Auditing / Taxation""},{""id"":24,""category"":""Logistics / Supply Chain""},{""id"":35,""category"":""Sales / Retail""}]",Permanent,########,FALSE,MCF-2023-0261996,########,4/4/2023,2,5,82,1,1,,Manager,WORKSTONE PTE. LTD.,5500,3000,Monthly,0,Closed,"Assistant Sales Manager (Hunter Role)- Up to $5,500| Freight Forwarding| Changi",4250
"[{""id"":7,""category"":""Consulting""},{""id"":14,""category"":""Events / Promotions""},{""id"":24,""category"":""Logistics / Supply Chain""},{""id"":29,""category"":""Professional Services""},{""id"":35,""category"":""Sales / Retail""}]",Permanent,########,FALSE,MCF-2023-0261998,########,4/4/2023,2,5,114,0,2,,Junior Executive,WORKSTONE PTE. LTD.,7000,2500,Monthly,0,Closed,"Car Leasing, RM â€“ West|Entry Level | Up to Basic $2,500 + $1,000 Transport + Comm",4750
"[{""id"":11,""category"":""Engineering""},{""id"":21,""category"":""Information Technology""},{""id"":33,""category"":""Repair and Maintenance""},{""id"":39,""category"":""Telecommunications""},{""id"":43,""category"":""Precision Engineering""}]",Permanent,########,FALSE,MCF-2023-0261993,########,4/4/2023,2,2,75,2,1,,Non-executive,WORKSTONE PTE. LTD.,4800,3000,Monthly,0,Closed,"Electrical Engineer - Tuas | Generator exp|$4,700",3900
"[{""id"":15,""category"":""F&B""}]",Part Time,########,FALSE,MCF-2023-0273999,4/8/2023,4/8/2023,0,4,148,1,2,,Non-executive,SAVORNANA PTE. LTD.,3200,2300,Monthly,0,Closed,Cook / Chef de Partie / Kitchen Assistant,2750
"[{""id"":1,""category"":""Accounting / Auditing / Taxation""},{""id"":2,""category"":""Admin / Secretarial""},{""id"":4,""category"":""Architecture / Interior Design""},{""id"":6,""category"":""Building and Construction""},{""id"":41,""category"":""Others""}]",Permanent,########,FALSE,MCF-2023-0273998,########,4/8/2023,1,2,71,8,1,,Senior Executive,WORKSTONE PTE. LTD.,4500,3500,Monthly,0,Closed,Senior Accounts & Admin- Harbourfront | Construction Industry |$4500,4000
"[{""id"":21,""category"":""Information Technology""}]",Permanent,5/8/2023,FALSE,MCF-2023-0273980,4/8/2023,4/8/2023,0,0,52,5,1,,Manager,TRUST RECRUIT PTE. LTD.,9000,5000,Monthly,0,Closed,"Tech Lead (Backend, Ruby on Rails, AWS, Socket IO, Up to $9K)",7000
"[{""id"":13,""category"":""Environment / Health""},{""id"":29,""category"":""Professional Services""},{""id"":36,""category"":""Sciences / Laboratory / R&D""}]",Full Time,5/8/2023,FALSE,MCF-2023-0273987,4/8/2023,4/8/2023,0,3,134,2,1,,Senior Executive,SDT MOLECULAR PTE. LTD.,6000,3000,Monthly,0,Closed,"Sales Specialist/Manager, Molecular Diagnostics",4500
"[{""id"":39,""category"":""Telecommunications""}]",Full Time,5/8/2023,FALSE,MCF-2023-0273986,4/8/2023,4/8/2023,0,3,142,15,3,,Professional,SINGAPORE TELECOMMUNICATIONS LIMITED,14000,7000,Monthly,0,Closed,Senior Cloud Migration Engineer,10500
"[{""id"":39,""category"":""Telecommunications""}]",Full Time,5/8/2023,FALSE,MCF-2023-0273985,4/8/2023,4/8/2023,0,4,101,15,3,,Professional,SINGAPORE TELECOMMUNICATIONS LIMITED,14000,7000,Monthly,0,Closed,Lead Cloud Migration Engineer,10500
"[{""id"":39,""category"":""Telecommunications""}]",Full Time,5/8/2023,FALSE,MCF-2023-0273988,4/8/2023,4/8/2023,0,4,137,8,3,,Professional,SINGAPORE TELECOMMUNICATIONS LIMITED,14000,7000,Monthly,0,Closed,Cloud Migration Engineer,10500
"[{""id"":11,""category"":""Engineering""},{""id"":33,""category"":""Repair and Maintenance""},{""id"":43,""category"":""Precision Engineering""}]",Permanent,########,FALSE,MCF-2023-0261992,########,4/4/2023,2,0,105,1,1,,Non-executive,WORKSTONE PTE. LTD.,3000,1800,Monthly,0,Closed,"CNC Machinist - Boon Lay / Basic up to $2,400",2400
"[{""id"":3,""category"":""Advertising / Media""},{""id"":7,""category"":""Consulting""},{""id"":9,""category"":""Design""},{""id"":26,""category"":""Marketing / Public Relations""}]",Permanent,5/8/2023,FALSE,MCF-2023-0251095,4/8/2023,########,2,3,77,1,1,,Executive,WORKSTONE PTE. LTD.,5000,2500,Monthly,0,Closed,"Brand & Communication Executive- Tuas| Up to $5,000",3750
"[{""id"":21,""category"":""Information Technology""}]",Permanent,5/8/2023,FALSE,MCF-2023-0273990,4/8/2023,4/8/2023,0,35,241,8,1,,Senior Executive,TRUST RECRUIT PTE. LTD.,10000,6000,Monthly,0,Closed,"Senior Business Analyst (Digital Transformation, Business Process, Fit-Gap analysis) - DS",8000
